x,y,z,nx,ny,nz,label
-1.498,-0.9097,0.9707,0.60711,-0.300551,0.735586,4
0.3316,-0.9924,-0.147,-0.880926,0.22308499999999998,-0.417376,3
-1.4892,-0.8891,0.9701,0.491271,0.05715800000000001,0.869129,0
-1.4892,-0.8684,0.9614,0.41623000000000004,0.557307,0.718444,0
0.3444,-0.9718,-0.1466,-0.755296,0.636257,-0.157181,3
0.3375,-0.9718,-0.1259,-0.501845,0.808305,-0.307888,3
0.3523,-0.9646,-0.1259,-0.481764,0.872885,-0.077305,3
0.3523,-0.9637,-0.1466,-0.87229,0.449416,0.192707,3
-1.4892,-0.9097,0.9644,0.5224260000000001,-0.3614,0.772309,4
-1.4685,-0.8891,0.9591,0.46808999999999995,0.016522,0.8835270000000001,0
-1.4685,-0.8684,0.9507,0.377783,0.55232,0.743117,0
0.3565,-0.9511,-0.1466,-0.775914,0.249261,0.579505,3
0.373,-0.9511,-0.1369,-0.148019,0.358634,0.921668,3
0.373,-0.9606,-0.1259,-0.044044,0.99802,-0.044891,5
-1.4671,-0.8684,0.95,0.323047,0.691858,0.6457350000000001,0
-1.4484,-0.8891,0.95,0.445632,-0.040570999999999996,0.8942959999999999,0
-1.4685,-0.9097,0.9506,0.48152799999999996,-0.435123,0.760788,4
-1.4675,-0.9097,0.95,0.45018100000000005,-0.47325500000000004,0.75721,4
0.3444,-0.9718,-0.1673,-0.9851700000000001,0.1649,0.047415,3
0.3523,-0.9511,-0.1525,-0.887388,0.01998,0.460591,3
0.3456,-0.9511,-0.1673,-0.942126,-0.133217,0.307654,3
-1.5099,-0.9274,0.9707,0.603528,-0.438622,0.665856,4
-1.5306,-0.9263,0.9914,0.573017,-0.486493,0.659528,4
-1.5306,-0.9304,0.9883,0.555025,-0.512004,0.65559,4
-1.5121,-0.9304,0.9707,0.604498,-0.487831,0.629764,4
0.3407,-0.9924,-0.1673,-0.938183,0.195083,-0.285928,3
0.3304,-1.0131,-0.1466,-0.900807,-0.029185000000000003,-0.433237,3
-1.5306,-0.9511,0.9707,0.218982,-0.829268,0.514161,4
-1.5099,-0.9304,0.9685,0.5972029999999999,-0.488922,0.635849,4
0.3316,-1.0197,-0.1466,-0.880268,-0.22405,-0.418246,3
0.3316,-1.0338,-0.1375,-0.786671,-0.34222600000000003,-0.513838,3
-1.4892,-0.9304,0.95,0.552752,-0.5094810000000001,0.659465,4
0.3316,-1.0131,-0.1492,-0.9052450000000001,-0.027979,-0.423967,3
-1.5306,-0.9511,0.9706,0.229925,-0.8431790000000001,0.485987,4
